Date,Name,Year,Letterboxd URI,Rating
2019-10-08,Spider-Man: Far from Home,2019,https://boxd.it/fegG,2.5
2019-10-08,Godzilla: King of the Monsters,2019,https://boxd.it/cY7Y,1.5
2019-10-08,The American,2010,https://boxd.it/dSE,4
2019-10-10,Burning,2018,https://boxd.it/hHUa,4
2019-10-10,The Siege of Jadotville,2016,https://boxd.it/b2HM,2.5
2019-10-14,Jackie Brown,1997,https://boxd.it/2aVO,3.5
2019-10-15,Kedi,2016,https://boxd.it/dHxM,5
2019-10-18,Insidious,2010,https://boxd.it/H4k,2.5
2019-10-25,Rosemary's Baby,1968,https://boxd.it/29zM,4
2019-11-02,The Thing,1982,https://boxd.it/294O,4
2019-11-05,In the Shadow of the Moon,2019,https://boxd.it/jhx4,2
2019-11-07,Dante's Peak,1997,https://boxd.it/1YdK,1.5
2019-11-11,District 9,2009,https://boxd.it/1Iik,3.5
2019-11-14,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,2
2019-11-14,Rumble in the Bronx,1995,https://boxd.it/1fi6,3.5
2019-11-18,mother!,2017,https://boxd.it/dgRU,2.5
2019-11-20,Joker,2019,https://boxd.it/h4cS,3.5
2019-11-21,GoldenEye,1995,https://boxd.it/29KU,3.5
2019-11-21,Tomorrow Never Dies,1997,https://boxd.it/29Kg,4
2019-11-24,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,3.5
2019-11-24,Shaun of the Dead,2004,https://boxd.it/29J8,2.5
2019-11-24,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,3.5
2019-11-24,Kingsman: The Golden Circle,2017,https://boxd.it/buJm,1.5
2019-11-25,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4.5
2019-11-27,Mad Max: Fury Road,2015,https://boxd.it/2DjO,4.5
2019-11-28,Minions,2015,https://boxd.it/6jCO,2
2019-12-01,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,2
2019-12-02,The Last Black Man in San Francisco,2019,https://boxd.it/iWAw,4.5
2019-12-02,Yesterday,2019,https://boxd.it/iF7M,3
2019-12-02,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,2.5
2019-12-08,El Camino: A Breaking Bad Movie,2019,https://boxd.it/kv0q,3.5
2019-12-13,Fast & Furious Presents: Hobbs & Shaw,2019,https://boxd.it/dnDA,2.5
2019-12-13,Angel Has Fallen,2019,https://boxd.it/eYfC,1.5
2019-12-15,6 Underground,2019,https://boxd.it/irU6,1
2019-12-27,Catch Me If You Can,2002,https://boxd.it/29VS,3.5
2019-12-27,Hustlers,2019,https://boxd.it/jIBM,4.5
2019-12-27,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,2
2019-12-28,The Irishman,2019,https://boxd.it/dYOq,4
2019-12-30,Self/less,2015,https://boxd.it/71yw,1
2019-12-31,Dr. No,1962,https://boxd.it/29UU,4
2020-01-01,From Russia with Love,1963,https://boxd.it/29T8,4
2020-01-01,Goldfinger,1964,https://boxd.it/29SY,3
2020-01-01,Thunderball,1965,https://boxd.it/29SE,2
2020-01-02,Panic Room,2002,https://boxd.it/2490,4
2020-01-04,Parasite,2019,https://boxd.it/hTha,5
2020-01-05,Shot Caller,2017,https://boxd.it/bihA,3
2020-01-05,Sweet Virginia,2017,https://boxd.it/eBmA,3
2020-01-05,A Serious Man,2009,https://boxd.it/1RFW,3
2020-01-08,Star Wars: Episode I - The Phantom Menace,1999,https://boxd.it/27Vc,3
2020-01-08,Star Wars: Episode II - Attack of the Clones,2002,https://boxd.it/27V2,1.5
2020-01-09,Star Wars: Episode III - Revenge of the Sith,2005,https://boxd.it/27US,2
2020-01-09,Star Wars,1977,https://boxd.it/72s,4
2020-01-09,The Empire Strikes Back,1980,https://boxd.it/27Vw,4
2020-01-09,Return of the Jedi,1983,https://boxd.it/27Vm,2.5
2020-01-09,Honeyland,2019,https://boxd.it/kL8K,3
2020-01-12,Becoming Jane,2007,https://boxd.it/261C,2
2020-01-13,Little Women,2019,https://boxd.it/aSVk,3.5
2020-01-15,Event Horizon,1997,https://boxd.it/20d8,3
2020-01-15,The French Connection,1971,https://boxd.it/296g,3
2020-01-20,Furie,2019,https://boxd.it/kP80,2.5
2020-01-23,Only God Forgives,2013,https://boxd.it/2HBs,3
2020-01-24,The Two Popes,2019,https://boxd.it/k8Xk,4
2020-01-25,The World Is Not Enough,1999,https://boxd.it/1a94,2
2020-01-25,Snowpiercer,2013,https://boxd.it/3Icg,3
2020-01-29,Goldman v Silverman,2020,https://boxd.it/oIV8,2.5
2020-01-29,1917,2019,https://boxd.it/jj4y,4
2020-02-07,Pan's Labyrinth,2006,https://boxd.it/28No,4
2020-02-07,American Assassin,2017,https://boxd.it/eFLE,1.5
2020-02-21,Knives Out,2019,https://boxd.it/jWEA,4
2020-02-23,Jojo Rabbit,2019,https://boxd.it/iEBG,3.5
2020-03-09,Free Fire,2016,https://boxd.it/b2Ig,3
2020-03-09,The Score,2001,https://boxd.it/1U0C,3
2020-03-22,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE,3.5
2020-03-22,The Other Guys,2010,https://boxd.it/1rtq,2
2020-03-27,Dirty Harry,1971,https://boxd.it/299E,3
2020-03-28,Slow West,2015,https://boxd.it/6CwK,4.5
2020-03-31,Eyes Wide Shut,1999,https://boxd.it/2axs,4
2020-04-01,Gemini Man,2019,https://boxd.it/gaUu,4
2020-04-04,Midsommar,2019,https://boxd.it/jhxe,4
2020-04-04,The Art of Self-Defense,2019,https://boxd.it/hf5y,2
2020-04-07,Onward,2020,https://boxd.it/io92,2.5
2020-04-08,American Ultra,2015,https://boxd.it/7KXc,2
2020-04-13,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,3.5
