Date,Name,Year,Letterboxd URI
2019-09-16,Nocturnal Animals,2016,https://letterboxd.com/film/nocturnal-animals/
2019-09-19,Dark Waters,2019,https://letterboxd.com/film/dark-waters-2019/
2019-09-20,City of Gold,2015,https://letterboxd.com/film/city-of-gold-2015/
2019-09-20,The Rhythm Section,2020,https://letterboxd.com/film/the-rhythm-section/
2019-09-20,Clemency,2019,https://letterboxd.com/film/clemency/
2019-09-21,Fractured,2019,https://letterboxd.com/film/fractured-2019/
2019-09-21,Flightplan,2005,https://letterboxd.com/film/flightplan/
2019-09-26,The Talented Mr. Ripley,1999,https://letterboxd.com/film/the-talented-mr-ripley/
2019-09-30,Midsommar,2019,https://letterboxd.com/film/midsommar/
2019-10-02,6 Underground,2019,https://letterboxd.com/film/6-underground/
2019-10-10,Baraka,1992,https://letterboxd.com/film/baraka/
2019-10-10,Samsara,2011,https://letterboxd.com/film/samsara-2011/
2019-10-25,The King,2019,https://letterboxd.com/film/the-king-2019/
